cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
pan2020deepopf,predictive OPF.,predict-and-reconstruct.,DC-OPF equality and inequality constraints.,equality structure is partly reconstructed; inequality feasibility is not a hard by-construction guarantee in this first source pass.,direct DNN prediction plus equation-based reconstruction.,"speed is gained by replacing optimization with prediction, but strict feasibility still needs checking or additional safeguards."
zhao2020deepopf+,predictive OPF with feasibility calibration.,constraint-limit calibration.,generation and transmission line constraints in DC-OPF.,analytical calibration magnitude under stated assumptions.,direct DNN prediction; no optimization solve is the main intended path.,calibration can make the learned feasible region more conservative.
tao2024provable,network editing for safety.,provable parameter editing.,input polytope to output polytope inclusion.,LP relaxation/certificate described by the paper.,none after editing.,the certified property is tied to specified polytopes and relaxation tightness.
cao2026scpo,safe-update training for policy networks.,SCPO weight-space projection.,rollout-evaluated safety metrics and local smoothness-based safe regions in parameter space.,sampling-based local safe region and projected policy-update analysis.,no output repair layer; safety is enforced during parameter updates.,"provides training-time safe-update guarantees for policy learning, but depends on rollout coverage, local smoothness bounds, feasible QCQP projections, and a safe initialization."
diehl2019warm,OPF warm start.,learning-to-warm-start.,AC-OPF power-network constraints.,downstream solver tolerance for the warm-started solve.,optimizer if feasibility certification is required.,direct predictions are fast but not independently certified.
sambharya2024learning,learned warm start for iterative solvers.,fixed-point residual warm start.,optimization constraints handled by the target fixed-point method.,fixed-point algorithm properties and PAC-Bayes-style generalization analysis; not a direct feasibility layer by itself.,fixed-point iterations.,feasibility and optimality depend on the downstream iterative method.
liang2023hp,projection-analogous correction / homeomorphic projection.,homeomorphic projection.,constraints whose feasible set is homeomorphic to a unit ball.,mapping validity and latent bisection under the paper's assumptions.,learned map and bisection/projection step.,effectiveness depends on learning a valid low-distortion homeomorphism.
liang2024hp,projection-analogous correction / homeomorphic projection.,INN-based homeomorphic projection.,constrained sets satisfying the paper's homeomorphism assumptions.,homeomorphism/bi-Lipschitz assumptions and bisection construction.,invertible map and latent bisection.,requires a learned map that accurately represents the feasible set geometry.
liang2024bis,projection-analogous correction / bisection projection.,bisection projection.,compact input-dependent feasible sets with non-empty interiors under the paper's assumptions; experiments include convex and nonconvex constrained optimization instances.,"sufficient conditions for IPNN feasibility, compact-set/interior assumptions, feasibility checks, and bisection analysis.","raw predictor, IPNN, and finite bisection steps.","lower online cost than generic projection, but performance depends on valid interior-point prediction, feasible-set membership checks, and the number of bisection steps."
donti2021dc3,completion and correction layer.,DC3 completion-correction.,equality and inequality constraints in hard-constrained optimization.,analytical completion plus iterative correction; tolerance and problem structure matter.,completion/correction steps.,stronger feasibility handling requires extra inference-time correction.
tabas2022safe,gauge-map MPC feasible-set parameterization.,Gauge NN / interior-point gauge map.,finite-horizon MPC constraints with polytopic state/input constraints in the paper's studied settings.,Phase-I interior-point construction and gauge-map parameterization of the MPC feasible set.,interior-point construction and closed-form gauge-map evaluation.,feasibility depends on the MPC feasible set being strictly feasible and on the availability and stability of the gauge-map construction; the approach targets speed compared with online MPC or projection-based correction.
park2022self,primal-dual learning.,self-supervised primal-dual learning.,constrained optimization problems.,empirical feasibility and optimality-gap evaluation; no by-construction pointwise feasibility of the raw primal network is claimed.,"feed-forward primal and dual networks, with training inspired by ALM updates.","avoids presolved labels and uses instance-specific multipliers, but feasibility remains measured by violations unless paired with an additional repair/certificate."
chamon2022constrained,constrained learning theory/optimization.,constrained non-convex learning.,learning constraints specified in the paper.,empirical-duality-gap and generalization analysis; deterministic final-iterate feasibility still depends on primal recovery conditions.,"constrained learning/training algorithm, not a deployment-time feasibility layer.","provides theory for constrained learning with nonconvex losses, but does not by itself make every neural-network output pointwise feasible."
asadi2017alternative,reinforcement-learning operator background.,non-expansion softmax.,not a hard feasibility constraint method.,non-expansion analysis.,replacement softmax/operator evaluation.,useful as RL/operator background; should not be counted as a hard-constrained prediction layer.
harder2023hard,hard-constrained prediction for physical super-resolution.,renormalizing constraint layer.,statistical/physical consistency constraints between low-resolution inputs and high-resolution outputs.,by-construction terminal renormalization layer.,constraint layer evaluation after the base neural model.,applies when the input-output relationship admits known aggregate/statistical constraints.
pan2022deepopf,predictive AC-OPF.,AC predict-and-reconstruct with penalty training.,AC power-flow equalities and operational inequalities.,equality reconstruction plus penalty-based training; first-pass evidence does not support treating all inequalities as hard-certified at inference.,DNN prediction plus AC power-flow reconstruction.,fast inference depends on reconstruction and penalty-trained feasibility rather than a full OPF solve.
utkarsh2025end,probabilistic hard-constrained prediction.,ProbHardE2E DPPL.,"operational/physical constraints, including nonlinear constraints in the paper's stated scope.",differentiable probabilistic projection layer.,probabilistic projection layer.,projection-layer design must match the target constraints and forecasting distributional setup.
chzhen2026improving,projection-analogous correction / amortized autoencoder projection.,autoencoder-based projection.,"complex operational constraints, including nonconvex examples in the paper.",amortized learned projection; constraint satisfaction should be empirically validated for the target problem.,"encoder, latent projection, and decoder.","much cheaper than solver-based correction, but accuracy depends on learned feasible-set representation."
liang2025chanceopf,projection-analogous correction / bisection-based projection for chance-constrained OPF.,bisection-based projection.,chance constraints in AC-OPF with specified confidence level.,bisection-based projection and the paper's feasibility/optimality analysis.,projection phase after neural prediction.,"feasibility comes from the projection stage, and sampling/projection adds inference cost."
marquezneila2017imposing,hard-constrained prediction / feasibility-layer background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
hendriks2020linearly,hard-constrained prediction / feasibility-layer background.,linear-operator parameterization.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
chen2024physics,hard-constrained prediction / feasibility-layer background.,hard equality embedding.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
lee2017gradient,hard-constrained prediction / feasibility-layer background.,post-hoc constrained inference.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
brosowsky2020sample,hard-constrained prediction / feasibility-layer background.,sample-specific output constraints.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
chen2020theory,hard-constrained prediction / feasibility-layer background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
negiar2022learning,hard-constrained prediction / feasibility-layer background.,declarative optimization layer.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
cristian2023end,hard-constrained prediction / feasibility-layer background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 projection/optimization-learning background
liu2024dfwlayer,hard-constrained prediction / feasibility-layer background.,differentiable Frank-Wolfe layer.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
gould2019deep,hard-constrained prediction / feasibility-layer background.,declarative optimization layer.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
huang2021differentiable,hard-constrained prediction / feasibility-layer background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Candidate for Part1 background or taxonomy support
fischer2019dl2,hard-constrained prediction / feasibility-layer background.,logical constraint learning.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,"Use as logical-constraint training background, not hard output layer"
ahmed2022semantic,hard-constrained prediction / feasibility-layer background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,"Use to support logical/discrete constraint discussion, not automatically a hard-feasibility method"
giunchiglia2021multi,hard-constrained prediction / feasibility-layer background.,logical constraint learning.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,"Use to support logical/discrete constraint discussion, not automatically a hard-feasibility method"
wang2019satnet,hard-constrained prediction / feasibility-layer background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,"Use to support logical/discrete constraint discussion, not automatically a hard-feasibility method"
chen2018approximating,application background / safe control and MPC.,MPC approximation with projection.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; not fully audited in this batch.,Use as MPC/control background only
